"controlNumber","invTime","rho_x","rho_y","rho_xy","omega","tau","post_Inv_Length","timeLength","Sd_gap_1","Sd_gap_n"
10,10,0.1,0.1,0.1,0,0,1,11,1.1108,1.1108
30,10,0.1,0.1,0.1,0,0,1,11,0.9533,0.9533
10,40,0.1,0.1,0.1,0,0,1,41,1.0761,1.0761
30,40,0.1,0.1,0.1,0,0,1,41,0.8893,0.8893
10,10,0.5,0.1,0.1,0,0,1,11,0.9968,0.9968
30,10,0.5,0.1,0.1,0,0,1,11,0.9417,0.9417
10,40,0.5,0.1,0.1,0,0,1,41,0.9538,0.9538
30,40,0.5,0.1,0.1,0,0,1,41,1.0125,1.0125
10,10,0.1,0.5,0.1,0,0,1,11,0.7261,0.7261
30,10,0.1,0.5,0.1,0,0,1,11,0.7234,0.7234
10,40,0.1,0.5,0.1,0,0,1,41,0.725,0.725
30,40,0.1,0.5,0.1,0,0,1,41,0.7528,0.7528
10,10,0.5,0.5,0.1,0,0,1,11,0.8157,0.8157
30,10,0.5,0.5,0.1,0,0,1,11,0.7498,0.7498
10,40,0.5,0.5,0.1,0,0,1,41,0.7538,0.7538
30,40,0.5,0.5,0.1,0,0,1,41,0.7267,0.7267
10,10,0.1,0.1,0.5,0,0,1,11,1.0018,1.0018
30,10,0.1,0.1,0.5,0,0,1,11,0.9582,0.9582
10,40,0.1,0.1,0.5,0,0,1,41,1.0194,1.0194
30,40,0.1,0.1,0.5,0,0,1,41,1.0627,1.0627
10,10,0.5,0.1,0.5,0,0,1,11,1.0911,1.0911
30,10,0.5,0.1,0.5,0,0,1,11,1.02,1.02
10,40,0.5,0.1,0.5,0,0,1,41,1.0209,1.0209
30,40,0.5,0.1,0.5,0,0,1,41,0.931,0.931
10,10,0.1,0.5,0.5,0,0,1,11,0.7391,0.7391
30,10,0.1,0.5,0.5,0,0,1,11,0.685,0.685
10,40,0.1,0.5,0.5,0,0,1,41,0.7999,0.7999
30,40,0.1,0.5,0.5,0,0,1,41,0.7186,0.7186
10,10,0.5,0.5,0.5,0,0,1,11,0.754,0.754
30,10,0.5,0.5,0.5,0,0,1,11,0.7232,0.7232
10,40,0.5,0.5,0.5,0,0,1,41,0.796,0.796
30,40,0.5,0.5,0.5,0,0,1,41,0.7805,0.7805
10,10,0.1,0.1,0.1,0.5,0,1,11,1.0908,1.0908
30,10,0.1,0.1,0.1,0.5,0,1,11,1.1125,1.1125
10,40,0.1,0.1,0.1,0.5,0,1,41,1.0297,1.0297
30,40,0.1,0.1,0.1,0.5,0,1,41,1.0546,1.0546
10,10,0.5,0.1,0.1,0.5,0,1,11,1.0526,1.0526
30,10,0.5,0.1,0.1,0.5,0,1,11,0.9573,0.9573
10,40,0.5,0.1,0.1,0.5,0,1,41,1.075,1.075
30,40,0.5,0.1,0.1,0.5,0,1,41,0.9929,0.9929
10,10,0.1,0.5,0.1,0.5,0,1,11,0.8456,0.8456
30,10,0.1,0.5,0.1,0.5,0,1,11,0.7549,0.7549
10,40,0.1,0.5,0.1,0.5,0,1,41,0.7704,0.7704
30,40,0.1,0.5,0.1,0.5,0,1,41,0.6827,0.6827
10,10,0.5,0.5,0.1,0.5,0,1,11,0.8427,0.8427
30,10,0.5,0.5,0.1,0.5,0,1,11,0.7605,0.7605
10,40,0.5,0.5,0.1,0.5,0,1,41,0.817,0.817
30,40,0.5,0.5,0.1,0.5,0,1,41,0.7648,0.7648
10,10,0.1,0.1,0.5,0.5,0,1,11,1.0306,1.0306
30,10,0.1,0.1,0.5,0.5,0,1,11,0.9709,0.9709
10,40,0.1,0.1,0.5,0.5,0,1,41,1.1268,1.1268
30,40,0.1,0.1,0.5,0.5,0,1,41,1.0569,1.0569
10,10,0.5,0.1,0.5,0.5,0,1,11,1.0894,1.0894
30,10,0.5,0.1,0.5,0.5,0,1,11,1.1213,1.1213
10,40,0.5,0.1,0.5,0.5,0,1,41,1.1477,1.1477
30,40,0.5,0.1,0.5,0.5,0,1,41,0.9838,0.9838
10,10,0.1,0.5,0.5,0.5,0,1,11,0.8014,0.8014
30,10,0.1,0.5,0.5,0.5,0,1,11,0.7648,0.7648
10,40,0.1,0.5,0.5,0.5,0,1,41,0.8338,0.8338
30,40,0.1,0.5,0.5,0.5,0,1,41,0.873,0.873
10,10,0.5,0.5,0.5,0.5,0,1,11,0.7495,0.7495
30,10,0.5,0.5,0.5,0.5,0,1,11,0.7598,0.7598
10,40,0.5,0.5,0.5,0.5,0,1,41,0.8146,0.8146
30,40,0.5,0.5,0.5,0.5,0,1,41,0.717,0.717
10,10,0.1,0.1,0.1,0,0.5,1,11,1.0653,1.0653
30,10,0.1,0.1,0.1,0,0.5,1,11,1.002,1.002
10,40,0.1,0.1,0.1,0,0.5,1,41,1.0152,1.0152
30,40,0.1,0.1,0.1,0,0.5,1,41,0.9529,0.9529
10,10,0.5,0.1,0.1,0,0.5,1,11,1.0101,1.0101
30,10,0.5,0.1,0.1,0,0.5,1,11,0.9758,0.9758
10,40,0.5,0.1,0.1,0,0.5,1,41,1.0664,1.0664
30,40,0.5,0.1,0.1,0,0.5,1,41,0.8768,0.8768
